rank_unique,rank_unique_cleaned
第一名,一
第二十四名,二十四
第二名,二
第八名,八
第五十一名,五十一
第三名,三
第二十九名,二十九
第一百十五名,一百十五
第二十八名,二十八
第七十三名,七十三
第四十九名,四十九
第四名,四
第三十九名,三十九
第四十三名,四十三
第五名,五
第十一名,十一
第九名,九
第六名,六
第九十二名,九十二
第七名,七
第五十二名,五十二
第七十九名,七十九
第十三名,十三
第十名,十
第十八名,十八
第三十二名,三十二
第十二名,十二
第十九名,十九
第六十九名,六十九
第十四名,十四
第二十六名,二十六
第六十五名,六十五
第十五名,十五
第三十五名,三十五
第十六名,十六
第七十八名,七十八
第十七名,十七
第一百二十名,一百二十
第二十一名,二十一
第一百十六名,一百十六
第五十八名,五十八
第一百一名,一百一
第三十名,三十
第九十七名,九十七
第一百八名,一百八
第七十二名,七十二
第七十六名,七十六
第一百一十九名,一百一十九
第九十一名,九十一
第三十六名,三十六
第七十四名,七十四
第一百十八名,一百十八
第五十五名,五十五
第一百五名,一百五
第六十三名,六十三
第一百十三名,一百十三
第二十名,二十
第五十六名,五十六
第八十九名,八十九
第二十二名,二十二
第一百九名,一百九
第二十三名,二十三
第九十六名,九十六
第二十五名,二十五
第二十七名,二十七
第三十一名,三十一
第一百十七名,一百十七
第四十二名,四十二
第七十一名,七十一
第四十八名,四十八
第三十三名,三十三
第一百七名,一百七
第三十四名,三十四
第一百名,一百
第九十八名,九十八
第三十七名,三十七
第六十四名,六十四
第三十八名,三十八
第七十名,七十
第一百六十六名,一百六十六
第四十名,四十
第一百十四名,一百十四
第四十一名,四十一
第三□□,
第四十四名,四十四
第四十五名,四十五
第一百十二名,一百十二
第四十六名,四十六
第四十七名,四十七
第一百十名,一百十
第六十名,六十
第五十名,五十
第一百十一名,一百十一
第八十七名,八十七
第八十名,八十
第五十三名,五十三
第五十四名,五十四
第六十二名,六十二
第八十三名,八十三
第五十七名,五十七
第一百二名,一百二
第六十一名,六十一
第五十九名,五十九
第九十九名,九十九
第八十五名,八十五
第九十四名,九十四
第九十名,九十
第六十六名,六十六
第八十六名,八十六
第六十七名,六十七
第六十八名,六十八
第八十四名,八十四
第一百六名,一百六
第七十五名,七十五
第九十五名,九十五
第八十二名,八十二
第七十七名,七十七
第八十一名,八十一
第一百三名,一百三
第九十三名,九十三
第八十八名,八十八
第一百四名,一百四
福建鄉試第三十一名,三十一
江西鄉試第二十五名,二十五
應天府鄉試第十二名,十二
江西鄉試第十七名,十七
應天府鄉試第一名,一
應天府鄉試第十七名,十七
應天府鄉試第八名,八
福建鄉試第九名,九
浙江鄉試第十八名,十八
四川鄉試第三名,三
第一百六十四名,一百六十四
四川鄉試第十六名,十六
應天府鄉試第一百二十一名,一百二十一
第一百六十三名,一百六十三
四川鄉試第三十六名,三十六
浙江鄉試第六名,六
江西鄉試第七名,七
應天府鄉試第八十五名,八十五
第一百三十一名,一百三十一
應天府鄉試第五十八名,五十八
福建鄉試第七名,七
第一百二十五名,一百二十五
陝西鄉試第一名,一
四川鄉試第四十三名,四十三
四川鄉試第四十四名,四十四
應天府鄉試第七十三名,七十三
應天府鄉試第五十五名,五十五
山東鄉試第四十四名,四十四
第一百四十五名,一百四十五
江西鄉試第十一名,十一
浙江鄉試第二十六名,二十六
江西鄉試第十六名,十六
第一百三十三名,一百三十三
廣西鄉試第二十二名,二十二
浙江鄉試第二十八名,二十八
應天府鄉試第四十七名,四十七
四川鄉試第六十七名,六十七
第一百六十二名,一百六十二
應天府鄉試第二十二名,二十二
第一百七十六名,一百七十六
福建鄉試第四十五名,四十五
第一百七十八名,一百七十八
浙江鄉試第五十三名,五十三
福建鄉試第二名,二
順天府鄉試第六名,六
湖廣鄉試第三名,三
第一百三十六名,一百三十六
江西鄉試第八名,八
浙江鄉試第八十四名,八十四
陝西鄉試第二十三名,二十三
第一百五十六名,一百五十六
廣東鄉試第二名,二
第一百八十五名,一百八十五
江西鄉試第十九名,十九
山西鄉試第二十八名,二十八
第一百七十四名,一百七十四
江西鄉試第三十五名,三十五
浙江鄉試第四十四名,四十四
順天府鄉試第五名,五
第一百七十五名,一百七十五
陝西鄉試第三名,三
順天府鄉試第一名,一
應天府鄉試第五十七名,五十七
第一百六十八名,一百六十八
江西鄉試第三十名,三十
第一百四十三名,一百四十三
浙江鄉試第五十四名,五十四
第一百五十七名,一百五十七
江西鄉試第十八名,十八
江西鄉試第四十五名,四十五
第一百二十九名,一百二十九
順天府鄉試第三十七名,三十七
浙江鄉試第一百四十七名,一百四十七
應天府鄉試第十四名,十四
第一百六十一名,一百六十一
浙江鄉試第一名,一
