行第,行第_number
四,4
三,3
二,2
一,1
二十,20
二十二,22
五,5
十五,15
六,6
□,999
八,8
七,7
十一,11
十,10
五,5
一,1
十二,12
二十三,23
二,2
九,9
十六,16
十四,14
十八,18
二十七,27
六,6
三十一,31
三,3
十三,13
十七,17
三十四,34
十九,19
五十五,55
四十五,45
三,3
三十八,38
三十九,39
四十六,46
二十四,24
□十七,999
四十四,44
二十五,25
二十八,28
福三,999
二,2
六,6
二十一,21
二十六,26
五十,50
八十七,87
九十三,93
巽二,999
六十一,61
六十,60
四十三,43
六十三,63
三十六,36
六十九,69
十□,10
四十,40
□□,999
七十六,76
四十二,42
三十三,33
五十八,58
一百八,108
六十二,62
七十□,70
七十,70
六十四,64
八十二,82
三十,30
二十九,29
四十八,48
八十八,88
一百四十三,143
九十七,97
七十四,74
三十五,35
百三,103
四十六,46
十,10
八十四,84
四十七,47
百十,110
伯六,999
五二,52
和三,999
六十八,68
七十五,75
百三十八,138
三十七,37
百七,107
一百十六,116
一百一十九,119
五十七,57
一百三十八,138
亨六十八,999
六十七,67
二百四,204
一百三十七,137
八十三,83
五十一,51
一十九,19
七十九,79
五十三,53
七十八,78
百四,104
四十一,41
七十三,73
九十九,99
六十七,67
五十六,56
七十一,71
九十,90
一百十九,119
三十二,32
六十五,65
八十六,86
文一,999
一百九,109
五,5
一百九十二,192
一百五十,150
一百四十六,146
四十九,49
五十九,59
五十二,52
八十一,81
二百五十八,258
二百七,207
一百六十三,163
六十六,66
九十四,94
百六十五,165
一,1
一百八十九,189
百六,106
一,1
八十,80
七二,72
七一,71
